id,manufacturer,model,category,equipment,item,method,criteria,measurementRecord,diagramRecord
1,堀川工機,MC300,エンジン,本体,エンジンヘッドカバー、ターボ,オイル等滲み・垂れ跡が無,オイル、燃料漏れ,,
2,堀川工機,MC300,エンジン,本体,排気及び吸気,ほぼ透明の薄紫,排気ガス色及びガス漏れ等の点検（マフラー等）,,
3,堀川工機,MC300,エンジン,スターター,起動状態,イグニションスタートでスムーズに回転,回転及び異音の確認,,
4,堀川工機,MC300,エンジン,スターター,端子・配線,目視による緩み、損傷の無,配線摺動による損傷及び端子ゆるみ,,
5,堀川工機,MC300,エンジン,燃料カットソレノイド,作動確認,イグニションON・OFFで伸縮,伸縮の作動,,
6,堀川工機,MC300,エンジン,燃料カットソレノイド,リンク部の取付状態,目視による脱落等がなし,ワイヤーの伸縮・割ピン等脱落,,
7,堀川工機,MC300,エンジン,エンジンオイル,エンジンオイル,レベルゲージ中央,レベルゲージによる油量及び汚れ確認,,
8,堀川工機,MC300,エンジン,エンジンオイル,オイルフィルター,フィルター付近へ油の垂れ後が無,オイルフィルターオイル漏れ,,
9,堀川工機,MC300,エンジン,エアーフィルター,インジケーター,エンジンか起動し緑色表示,表示色の確認,,
10,堀川工機,MC300,エンジン,エアーフィルター,サクションホース,ホースの硬化、バンドの緩み,ホースの取付バンド締付及び損傷,,
11,堀川工機,MC300,エンジン,コンプレッサー,ヘッド・シリンダー周辺及びホース・配管,油垂れ痕が無,油洩れ,,
12,堀川工機,MC300,エンジン,コンプレッサー,筐体・配管,油垂れ痕が無,油漏れ及び配管ゆるみ,,
13,堀川工機,MC300,エンジン,コンプレッサー,調圧器,コンプレッサーまでのホース亀裂等が無,ホースの取付、損傷,,
14,堀川工機,MC300,エンジン,ラジエター,フィン（コア）・ファン,目視によりゴミ等付着が無、ファンの接触痕が無,目詰り・損傷、冷却水漏れ,,
15,堀川工機,MC300,エンジン,ラジエター,ラジエター内水量,ラジエーターコアが露出し無、レベル中央、濃度約２０％以上,水量及び濃度（色）,,
16,堀川工機,MC300,エンジン,ラジエター,リザーバータンク水量,ラジエーターコアが露出し無、レベル中央、濃度約２０％以上,水量及び濃度（色）,,
17,堀川工機,MC300,エンジン,ラジエター,ラジエターキャップ,パッキンの硬化（凹み痕）、バネの反力があり、損傷が無,パッキンの硬化、押さえバネの損傷,,
18,堀川工機,MC300,エンジン,ラジエター,ラジエターホース（アッパー・ロアー）,ホースの硬化、バンドの緩み,冷却水漏れ及びバンド締付,,
19,堀川工機,MC300,エンジン,オルタネーター,筐体,ホコリ等の付着が無,汚れ、変形等,,
20,堀川工機,MC300,エンジン,オルタネーター,取付け状態の点検,取付ボルトの緩み、,取付ブラケット、調整ネジ,,
21,堀川工機,MC300,エンジン,オルタネーター,ベルトの点検（張り（テンション）、損傷）,約70kNで押さえ1０～20mm程度、擦れ摩耗が無,テンションの弛み、擦れ痕、ヒビ,mm,
22,堀川工機,MC300,エンジン,オルタネーター,配線・端子,配線の硬化、外皮の傷が無、配線取付ネジ・ボルト等緩みが無,配線摺動による損傷及び端子ゆるみ,,
23,堀川工機,MC300,エンジン,燃料タンク,タンク残量,半分以上（運用時間、距離により）,レベルゲージによる確認,"""残量",
25,堀川工機,MC300,エンジン,燃料配管・ホース,配管接続部及びホース,接続部ボルト等の弛み、エンジン始動前に滲みが無,接続部緩み、燃料漏れ,,
26,堀川工機,MC300,エンジン,油水分離,ドレーンボルト,ドレーンボルト緩め、燃料のみ出るまで,油水抜き,,
27,堀川工機,MC300,エンジン,燃料フィードポンプ,手動用ポンプ,燃料漏れ痕が無,緩み、燃料漏れ,,
28,堀川工機,MC300,エンジン,燃料フィードポンプ,ゴーズドフィルター,目詰まりが無,脱着清掃,,
29,堀川工機,MC300,エンジン,燃料フィルター,配管接続ボルト,配管接続ボルト、フィルター周辺に燃料漏れ痕が無,緩み及び燃料漏れ,,
30,堀川工機,MC300,動力伝達,トルコン,トルコンオイル,エンジン駆動中にレベル窓の中央（コマツはエンジン停止状態）,油量の点検,,
31,堀川工機,MC300,動力伝達,トルコン,パイプ、ホース、継ぎ手,オイル等滲み・垂れ跡が無,油漏れ及び配管ゆるみ,,
32,堀川工機,MC300,動力伝達,油圧走行（MCR）,作動油タンク,ゲージ中央以・、粘度があり、汚れが無,作動油の汚れ・量漏及び漏れ,,
33,堀川工機,MC300,動力伝達,プロペラシャフト,取付ボルト,Iマークのずれが無（Iマークが無い場合は確認締め）,緩み（Iマーク）、脱落の確認,,
34,堀川工機,MC300,動力伝達,プロペラシャフト,ユニバーサルジョイント,グリスの飛散が無く、錆等の痕が無,グリース切れ,,
35,堀川工機,MC300,動力伝達,プロペラシャフト,スプライン,グリスの飛散が無く、錆等の痕が無,錆付き、グリース切れ,,
36,堀川工機,MC300,動力伝達,最終減速機,筐体,カバー接合部及び、入力側、車軸側からのオイル漏れが無,接合部及び、車軸側からのオイル漏れ,,
37,堀川工機,MC300,動力伝達,最終減速機,オイルポンプ,配管継ぎ手からのオイル漏れ無,ピニオンギヤまでの配管からのオイル漏れ,,
38,堀川工機,MC300,動力伝達,最終減速機,ギヤーオイル,点検窓で中央（窓のない機種は、レベルゲージで中央）,オイル量,,
39,堀川工機,MC300,動力伝達,軸箱,軸箱温度,ほぼ白色（約1年毎張り替え）,サーモラベル点検（取付状態及び変色）,有・無,
40,堀川工機,MC300,動力伝達,軸箱,軸箱グリース,車輪周辺へグリス飛散が無,グリース切れの確認,,
41,堀川工機,MC300,動力伝達,担ばね,重ね板バネの点検,錆の垂れ痕、ボルトの緩みが無,錆付き、結束ボルトゆるみ、脱落,,
42,堀川工機,MC300,動力伝達,車輪,短絡装置,500V１Mオーム以上、絶縁材のズレ、はみ出しが無,絶縁材の状態、切り換え及び,,
43,堀川工機,MC300,制動装置,リンク機構,割ピン及び止め金具,割ピン（コッターピン含む）脱落が無、調整ネジカバーの設置,脱落の確認,,
44,堀川工機,MC300,制動装置,リンク機構,リンクロッド,ロッド曲がり、折損が無,ロッド曲がり、折損の確認,,
45,堀川工機,MC300,制動装置,ブレーキシリンダー,ブレーキシリンダー,60～90mm（ブレーキ約200kpa時）,ストローク測定,mm,
46,堀川工機,MC300,制動装置,ブレーキシリンダー,ブレーキシリンダー,スムーズな伸縮（戻り）、重なりで漏洩40kpa/分以下,伸縮及びブレーキ圧の抜け,,
47,堀川工機,MC300,制動装置,制輪子,連結ピン・割ピン,連結ピン・割ピンの抜け、脱落が無,取付状態の確認,,
48,堀川工機,MC300,制動装置,制輪子,摩耗,最低２0mm以上,厚さ測定,,
49,堀川工機,MC300,制動装置,ディスクブレーキ（MCR）,ブーレーキパット,最低１0mm以上,厚さ測定,,
50,堀川工機,MC300,制動装置,ディスクブレーキ（MCR）,ブレーキオイルリザーバータンク,リザーバータンクのレベル中央,油量の点検,,
51,堀川工機,MC300,制動装置,ディスクブレーキ（MCR）,キャリパー,ブレーキオイルの滲み、垂れが無,キャリパーシリンダーからの油漏れ,,
52,堀川工機,MC300,制動装置,エアータンク,ドレーンコック,圧力溜めエンジン停止後、漏れが無（タンクⅠ・Ⅱ、補助、制御、チリコシ）,ドレーン,,
53,堀川工機,MC300,制動装置,空油変換機,エアシリンダ,ブレーキ制動時にエアー漏れが無,エアシリンダ周りのエア洩れ,,
54,堀川工機,MC300,制動装置,空油変換機,オイルシリンダ,ブレーキ制動時に油漏れが無,オイルシリンダ周りの油漏れ,,
55,堀川工機,MC300,制動装置,空油変換機,オイルシリンダ,シリンダー筐体の取付ボルト、バンド等の弛みが無,オイルシリンダ取付ボルトの緩み,,
56,堀川工機,MC300,制動装置,空油変換機,配管・ブレーキホース,配管とホース接続部からの油漏れが無,ブレーキホースの損傷、取付状態,,
57,堀川工機,MC300,制動装置,ブレーキオイル,ブレーキオイルリザーバータンク,ゲージ中央,油量点検,,
58,堀川工機,MC300,駐車ブレーキ,留置ブレーキ（手ブレーキ）,作動確認,ブレーキレバーの遊びが無・引き代があり、ディスクにパッドが密着している,ブレーキの効き具合,,
59,堀川工機,MC300,駐車ブレーキ,留置ブレーキ（キャリパ）,キャリパ,,キャリパ取付ボルトの緩み,,
60,堀川工機,MC300,駐車ブレーキ,ディスクブレーキ（MCR）,ディスク,リンク部のグリス乾燥、MSCSセンサー位置が検知範囲である,ディスク取付ボルトの緩み,,
61,堀川工機,MC300,駐車ブレーキ,ディスクブレーキ（MCR）,ブレーキリンク,レバー引き及び戻しにおいて、掛かりが無,リンクワイヤーの戻り、割ピン等脱落,,
62,堀川工機,MC300,駐車ブレーキ,バネブレーキ,押しボタン,押しボタンONによる、エアー抜けの音及びブレーキシューが開いている,作動確認,,
63,堀川工機,MC300,駐車ブレーキ,バネブレーキ,非常用停止コック,通常：解放,非常用コックの位置を確認,,
64,堀川工機,MC300,駐車ブレーキ,バネブレーキ,エアーホース,摺動による傷や亀裂が無,摺動・損傷状態,,
65,堀川工機,MC300,駐車ブレーキ,バネブレーキ,ブレーキパット（ディスク式）,？？？,ディスクブレーキパッドの厚さ,,
66,堀川工機,MC300,電気装置,バッテリー,バッテリー液、端子、配線,レベル以上（極版が露出していない）、ターミナルの緩み、配線の短絡が無,液量、ターミナルの緩み、配線の摺動,,
67,堀川工機,MC300,電気装置,バッテリー,バッテリーリレー,イグニションON時の切換り音、電装品（パネル灯等）点灯,作動及び取付状態,,
68,堀川工機,MC300,電気装置,バッテリー,メインブレーカー,ブレーカ入り・切りによる電装品の作動,ブレーカー作動確認,,
69,堀川工機,MC300,運転台,アクセル,アクセルペダル,エンジン回転がスムーズにコントロールできる,作動状態の確認,,
70,堀川工機,MC300,運転台,アクセル（MCR）,アクセルコントロールダイヤル,つまみ回転に応じたエンジン回転となる,作動状態の確認,,
71,堀川工機,MC300,運転台,アクセル,暖気用チョーク,ダイヤルを引く、または回転に応じたエンジン回転となる,作動状態の確認,,
72,堀川工機,MC300,運転台,入換ブレーキ弁,ハンドル動作,ハンドルがスムーズに動く、,ブレーキ操作による作動、エアー漏れの確認,,
73,堀川工機,MC300,運転台,入換ブレーキ弁,ブレーキ圧,ブレーキ圧の保持、40kpa/min以下,ブレーキ作用及び漏洩の確認,,
74,堀川工機,MC300,運転台,入換ブレーキ弁,ブレーキ管切換レバー,通常：解放（被牽引時、締め）,作動及び開閉位置,,
75,堀川工機,MC300,運転台,配電盤,各種ブレーカー,運用時にすべてがON,ブレーカーの開及び短絡,,
76,堀川工機,MC300,運転台,トルコン切換スイッチ,前後進切換スイッチ,保材線等では力行（車両が走行開始する感）状態,レーバーによる走行動作確認,,
77,堀川工機,MC300,運転台,油圧走行（MCR）,前後進レバー,保材線等では力行（車両が走行開始する感）状態,レーバーによる走行動作確認,,
78,堀川工機,MC300,運転台,速度セレクトスイッチ（MCR）,セレクトスイッチ,保材線等では、1～4速切換力行の感の違い,作動状態の確認,,
79,堀川工機,MC300,運転台,イグニションキー,アクセサリー・スターター作動,各種電装品の電源ON、スターター始動する,作動状態の確認,,
80,堀川工機,MC300,運転台,スイッチ及び計器,電流計,エンジン始動後、10～20secでほぼOAを指す。,充電状態の確認,,
81,堀川工機,MC300,運転台,スイッチ及び計器,エンジン回転計,"""アイドリング６００～2",エンジン回転速度の指針を確認,"000RPMまでスムーズに指する。""",
82,堀川工機,MC300,運転台,スイッチ及び計器,エンジン水温計,指針が赤色を示さないこと,指針が緑色の範囲,,
83,堀川工機,MC300,運転台,スイッチ及び計器,各種照明スイッチ,ブレーキ作用時点滅,作動状態の確認,,
84,堀川工機,MC300,運転台,スイッチ及び計器,トルコン補給圧,"""0.3 ～ 0.６Mpa（エンジン回転　1",補給圧の確認,200 ～ 1,"600ｒｐｍ）"""
85,堀川工機,MC300,運転台,スイッチ及び計器,トルコンクラッチ圧,"""2.１ ～ 2.5Mpa （エンジン回転　1",クラッチ圧の確認,200 ～ 1,"600ｒｐｍ）"""
86,堀川工機,MC300,運転台,スイッチ及び計器,トルコン油温計,指針が赤色を示さないこと,指針が緑色の範囲,,
87,堀川工機,MC300,運転台,スイッチ及び計器,空気圧力計（元ダメ）,690 ～ 785Kpa,蓄圧確認,最大　　　kpa,
88,堀川工機,MC300,運転台,スイッチ及び計器,双針圧計（ブレーキ圧）,運転位置：０kpa、非常：約500kpa,作動確認,非常　　　kpa,
89,堀川工機,MC300,運転台,スイッチ及び計器,双針圧計（ブレーキ管圧）,運転位置：490kpa,蓄圧確認,ブレーキ管　　　kpa,
90,堀川工機,MC300,運転台,スイッチ及び計器,PTOスイッチ,スイッチON、転車台・クレーン装置が作動する,作動確認,,
91,堀川工機,MC300,運転台,灯具類,前照灯・補助灯,対応したスイッチを入れ、点灯する,作動確認,,
92,堀川工機,MC300,運転台,灯具類,サーチライト,対応したスイッチを入れ、点灯及び照明方向が移動する,作動確認,,
93,堀川工機,MC300,運転台,灯具類,尾灯（エバスコ）,ブレーキ圧（約200kpa）又はスイッチONで点滅する,制動時の後方点滅,,
94,堀川工機,MC300,運転台,灯具類,回転灯,反射板の回転及び照明の点灯（LEDの場合は点滅）,回転及び点灯状態,,
95,堀川工機,MC300,運転台,灯具類,隣接線回転灯,反射板の回転及び照明の点灯（LEDの場合は点滅）,左右回転灯点灯,,
96,堀川工機,MC300,運転台,灯具類,室内灯及び計器灯,スイッチに対応した照明が点灯する,各種スイッチONによる点灯状態,,
97,堀川工機,MC300,運転台,灯具類,作業灯,スイッチに対応した照明が点灯する,照明灯の点灯及び取付状態の確認,,
98,堀川工機,MC300,運転台,支援装置（MSCS）,電源ブレーカー,常時ON,作動状態の確認,,
99,堀川工機,MC300,運転台,支援装置（MSCS）,手歯止めセンサー,手歯止め設置により赤LED点灯及び表示盤に表示,手歯止めの設置及びLED（赤）点灯の確認,,
100,堀川工機,MC300,運転台,支援装置（承認区間逸脱防止）,本体及びモニター,PCの起動、スタート画面の表示,起動及び表示,,
101,堀川工機,MC300,運転台,支援装置（承認区間逸脱防止）,データ読込み,データ読み込み、シミュレーション画面表示,データ読み込み、表示確認,,
102,堀川工機,MC300,運転台,ドライブレコーダー,カメラ,ブラケット及びネジの弛みが無,取付け状態,,
103,堀川工機,MC300,運転台,ドライブレコーダー,カメラ,音声及びLED点灯,起動及び作動状態,,
104,堀川工機,MC300,運転台,ドライブレコーダー,CFカード等,青色LED点灯（紫・赤）容量不足,記憶容量の残量,,
105,堀川工機,MC300,運転台,ワイパー,ワイパーモータ、ワイパーゴム,ワイパーゴムの固着が無、スムーズに作動する,作動確認,,
106,堀川工機,MC300,車体,連結部,自動連結器,解放テコ及びナックルが定位（錠が下がり、ナックルが閉じ）,自動連結器のロック,,
107,堀川工機,MC300,車体,連結部,自動連結器解放テコの作動状態,解放テコにより錠を引き上げ、ナックルが開く,自動連結器解放テコの作動状態,,
108,堀川工機,MC300,車体,連結部,ピン連結器,連結棒を挿入した後、抜け止めレバーが垂下している,連結状態,,
109,堀川工機,MC300,車体,連結部,ピン連結器,連結器本体の取付ボルト緩み、脱落防止チェーン外れが無,取付状態,,
110,堀川工機,MC300,車体,連結部（共通）,配線コネクター,カバーの取付・取外し、脱落防止している,配線カバー取付及び損傷状態,,
111,堀川工機,MC300,車体,連結部（共通）,ブレーキ管取付及び肘コック,連結時：開き,ブレーキ管取付及び肘コック解放,,
112,堀川工機,MC300,車体,連結部（共通）,直通エアーカプラー,エアー漏れの無,直通エアー配管取付状態,,
113,堀川工機,MC300,車体,転車台,ロック,ロックの掛かり,ロックピン又はフックのロック及び作動状態,,
114,堀川工機,MC300,車体,転車台,昇降シリンダー,シリンダー及び配管接続部からの油漏れが無,昇降シリンダー・配管ホースからの油漏れ,,
115,堀川工機,MC300,車体,転車台,回転台,スムーズに回転する,給脂状態,,
116,堀川工機,MC300,車体,ステップ,昇降用ステップ,取付ボルト等の弛み、変形や損傷が無,変形・損傷,,
117,堀川工機,MC300,車体,各防音扉,ロック及びチェーン等,エンジンルーム、キャビン両側面等が閉じ確実にロックされている,ロックの確認,,
118,堀川工機,MC300,クレーン装置,クレーン装置,ブーム及びアウトリガー,ブームが収納され、リッミトが切れている,収納ロック、アウトリガーはリミットブロック切り確認,,
119,堀川工機,MC300,クレーン装置,クレーン装置,隣接線支障防止装置,左右選択し、ブームが停止する,作動状態,,
120,堀川工機,MC300,クレーン装置,クレーン装置,操作レバー,レバーがスムーズに押し引きでき、ガタつきが無、エンジン回転は調整できる,作動及び取付状態、エンジン回転調整,,
121,堀川工機,MC300,クレーン装置,クレーン装置,ホース・配管,ホース外皮の著しい劣化が無、接続部の弛み油漏れが無,劣化・油漏れ,,
122,堀川工機,MC300,発電機,エンジン,エンジンオイル,レベルゲージ中央,エンジンオイル量,,
123,堀川工機,MC300,発電機,リザーバータンク,冷却水量及び濃度（色）,ラジエーターコアが露出し無、レベル中央、濃度約２０％以上,水量及び濃度（色）,,
124,堀川工機,MC300,発電機,バッテリー,バッテリー液、端子、配線,レベル以上（極版が露出していない）、ターミナルの緩み、配線の短絡が無,液量、ターミナルの緩み、配線の摺動,,
125,堀川工機,MC300,発電機,オルタネーター,Vベルト,約70kNで押さえ1０～20mm程度、擦れ摩耗が無,張り及び摩耗、損傷の確認,,
126,堀川工機,MC300,発電機,主発電機,電源出力（電流・弾圧）,エンジン回転及びつまみにより、規定値調整が可能,計器による出力確認,,
127,堀川工機,MC300,発電機,主発電機,端子・配線,端子ネジの緩み無、配線外皮の摩耗が無,端子の緩み、配線の接続,,
128,堀川工機,MC300,発電機,各種スイッチ,スイッチ・ブレーカー,使用後OFF,使用時ON、終了後OFFの確認,,
129,トランシス,MC300,除雪装置,除雪アタッチメント,除雪装置取付部,接続部のボルト緩みが内無,ボルト緩み点検,,
130,トランシス,MC300,除雪装置,オーガブレーキ,オーガブレーキ,運転室内のレバー操作により遊びが無・引き代に余裕があること,ブレーキレバー,,
131,トランシス,MC300,除雪装置,"""プロペラシャフト（作業No1",2,取付ボルト,"3）""",緩み（Iマーク）、脱落の確認,Iマークのずれが無（Iマークが無い場合は確認締め）
132,トランシス,MC300,除雪装置,"""プロペラシャフト（作業No1",2,ユニバーサルジョイント,"3）""",グリース切れ,グリスの飛散が無く、錆等の痕が無
133,トランシス,MC300,除雪装置,"""プロペラシャフト（作業No1",2,スプライン,"3）""",錆付き、グリース切れ,グリスの飛散が無く、錆等の痕が無
134,トランシス,MC300,除雪装置,伝動機,伝動機,,油洩れ、ボルトの緩み点検,,
135,トランシス,MC300,除雪装置,伝動機,伝動機,,伝動機油量、汚れ点検,,
136,トランシス,MC300,除雪装置,チェーン伝動機,チェーン伝動機,,運転時の異音・取付ボルトの弛み,,
137,トランシス,MC300,除雪装置,チェーン伝動機,チェーン伝動機,,油の汚れ・量及び漏れ,,
138,トランシス,MC300,除雪装置,ブロア減速機,ブロア減速機,,運転時の異音・取付ボルトの弛み,,
139,トランシス,MC300,除雪装置,ブロア減速機,ブロア減速機,,油の汚れ・量及び漏れ,,
140,トランシス,MC300,除雪装置,掻寄翼、ウイング,掻寄翼、ウイング,,変形、亀裂の点検,,
141,トランシス,MC300,除雪装置,掻寄翼、ウイング,掻寄翼、ウイング,,取付のガタ、緩み,,
142,トランシス,MC300,除雪装置,掻寄翼、ウイング,掻寄翼、ウイング,,開閉の動作具合,,
143,トランシス,MC300,除雪装置,オーガ、ブロア,オーガ、ブロア,,変形、亀裂の点検,,
144,トランシス,MC300,除雪装置,ブロアケース,ブロアケース,,変形、亀裂の点検,,
145,トランシス,MC300,除雪装置,ブロアケース,ブロアケース,,回転部のガタ及び作動具合,,
146,トランシス,MC300,除雪装置,ブランジャー,ブランジャー,,替刃の損傷・変形・亀裂,,
147,トランシス,MC300,除雪装置,ブランジャー,ブランジャー,,替刃取付ボルトの弛み,,
148,トランシス,MC300,除雪装置,ブランジャー,ブランジャー,,フランジャーのリンクの作動具合,,
149,トランシス,MC300,除雪装置,シュート,シュート,,変形、亀裂の点検,,
150,トランシス,MC300,除雪装置,シュート,シュート,,回転及び開閉の作動具合,,
151,トランシス,MC300,除雪装置,シュート,シュート,,ピン部のガタ・弛み,,
152,トランシス,MC300,除雪装置,連結部（MCR）,ラッセル（フランジャ板）,,フランジャ取付状態,,
153,トランシス,MC300,除雪装置,連結部（MCR）,連結機器,,ブラケット取付フランジ収納,,
154,トランシス,MC300,除雪装置,連結部（MCR）,連結機器,,連結ブラケット収納状態,,
155,トランシス,MC300,,,,,,,